source_occurrence_id,index_url,original_href,normalized_url,acquisition_status,canonical_document_id,content_sha256,duplicate_content_group_id,canonical_versus_duplicate,extraction_status,character_count,image_only_flag,ocr_backlog_flag,raw_source_document_type,normalized_document_classification,classification_method,classification_confidence,corpus_scope,facility_match_status,njdoh_facid,njdoh_license_number,internal_facility_id,match_method,match_confidence,public_eligibility,baseline_only,source_year,source_listed_facility_name
nj-doh-enforcement-0667,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-mine-hill-surgical-center-08092024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-mine-hill-surgical-center-08092024.pdf,EXISTING_HASH_VERIFIED,383f466c3de01027b10f27bc7075d3124008d72abbf4849ad194281acb1337b2,383f466c3de01027b10f27bc7075d3124008d72abbf4849ad194281acb1337b2,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Curtailment of Surgical Services and Directed Plan of Correction,admission_curtailment,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Mine Hill Surgical Center
nj-doh-enforcement-0668,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-crest-pointe-rehabilitation-and-healthcare-center-08082024%20.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-crest-pointe-rehabilitation-and-healthcare-center-08082024%20.pdf,EXISTING_HASH_VERIFIED,3e23e9766fdfa6d0b47a79448370cbe6feda421e761ea1fb639a60c80117b566,3e23e9766fdfa6d0b47a79448370cbe6feda421e761ea1fb639a60c80117b566,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Order Lifting Directed Plan of Correction,directed_plan_of_correction,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Crest Pointe Rehabilitation and Healthcare Center
nj-doh-enforcement-0669,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/EA-The-Clare-Estate-08082024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/EA-The-Clare-Estate-08082024.pdf,EXISTING_HASH_VERIFIED,2e7fb0652a1025a47a6e84d1b018fe7fa66c7d16ba2bdd6bff9325ced74e90df,2e7fb0652a1025a47a6e84d1b018fe7fa66c7d16ba2bdd6bff9325ced74e90df,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Information Requirement Order,other_expressly_identified_njdoh_action,INDEX_METADATA,index_action,,,,,,,,false,true,2024,The Clare Estate
nj-doh-enforcement-0670,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-wynwood-rehabilitation-and-healthcare-center-08072024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-wynwood-rehabilitation-and-healthcare-center-08072024.pdf,EXISTING_HASH_VERIFIED,b675ce5e8230e375528edd6d62d0800a4b9785cc4c32b7d0195319169df46a0f,b675ce5e8230e375528edd6d62d0800a4b9785cc4c32b7d0195319169df46a0f,b675ce5e8230e375528edd6d62d0800a4b9785cc4c32b7d0195319169df46a0f,DUPLICATE_CONTENT,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Wynwood Rehabilitation and Healthcare Center
nj-doh-enforcement-0671,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-willow-springs-rehabilitation-and-healthcare-center-07302024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-willow-springs-rehabilitation-and-healthcare-center-07302024.pdf,EXISTING_HASH_VERIFIED,f6639945a88a6b7291afa48bc904c1a3dcf06dc527a95cf857b727900f595079,f6639945a88a6b7291afa48bc904c1a3dcf06dc527a95cf857b727900f595079,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Willow Springs Rehabilitation and Healthcare Center
nj-doh-enforcement-0672,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/Sinai-Post-Acute-Nursing-and-Rehabilitation-Center.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/Sinai-Post-Acute-Nursing-and-Rehabilitation-Center.pdf,EXISTING_HASH_VERIFIED,56b0964f5e88210f96489085f9b800d9686411d6ed11cf024625c96c490aefa3,56b0964f5e88210f96489085f9b800d9686411d6ed11cf024625c96c490aefa3,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Curtailment of Admissions and Readmissions Order,admission_curtailment,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Sinai Post Acute Nursing and Rehabilitation Center
nj-doh-enforcement-0673,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/Promedica-Skilled-Nursing-and-Rehab-West-Deptford.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/Promedica-Skilled-Nursing-and-Rehab-West-Deptford.pdf,EXISTING_HASH_VERIFIED,70c09a741515f43ac696eece7a2f8a6f805dd8415206f4e27bcb9589dcae9fe6,70c09a741515f43ac696eece7a2f8a6f805dd8415206f4e27bcb9589dcae9fe6,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Promedica Skilled Nursing and Rehab West Deptford
nj-doh-enforcement-0674,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-riverview-estates-rehabilitation-and-senior-living-center-07172024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-riverview-estates-rehabilitation-and-senior-living-center-07172024.pdf,EXISTING_HASH_VERIFIED,63f514c080fa319030744af44f322031b953e43599ea559a6156b1332cc5cd53,63f514c080fa319030744af44f322031b953e43599ea559a6156b1332cc5cd53,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,"Riverview Estates Rehabilitation and Senior Living Center, LLC"
nj-doh-enforcement-0675,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/ea-angels-of-mercy-nursing-skills-school-03252024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/ea-angels-of-mercy-nursing-skills-school-03252024.pdf,EXISTING_HASH_VERIFIED,a89a0e4d057d69fca09be2b644b8f0fb3f6ce3b3f5cf1fe37696e063642b20dd,a89a0e4d057d69fca09be2b644b8f0fb3f6ce3b3f5cf1fe37696e063642b20dd,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Revocation and Right to Hearing,license_revocation,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Angels of Mercy Nursing Skills School
nj-doh-enforcement-0676,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/EA-Mystic-Meadows-Rehab-and-Nursing-7152024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/EA-Mystic-Meadows-Rehab-and-Nursing-7152024.pdf,EXISTING_HASH_VERIFIED,eb4da80fa4ecdeeadd87740f4e9db6c708255af1c71b7fab57a12ce7aacde138,eb4da80fa4ecdeeadd87740f4e9db6c708255af1c71b7fab57a12ce7aacde138,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Assessment of Penalties,penalty_letter,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Mystic Meadows Rehab and Nursing
nj-doh-enforcement-0677,https://www.nj.gov/health/healthfacilities/surveys-insp/enforcement_actions.shtml,/health/healthfacilities/surveys-insp/EA-Carewell-Health-Medical-Center-7152024.pdf,https://www.nj.gov/health/healthfacilities/surveys-insp/EA-Carewell-Health-Medical-Center-7152024.pdf,EXISTING_HASH_VERIFIED,7344edfd4e7eb8321cc1a249410ffda0b828cc535e3a2128669ac4edd5277b96,7344edfd4e7eb8321cc1a249410ffda0b828cc535e3a2128669ac4edd5277b96,,CANONICAL,SEE_CORPUS_SUMMARY_GRAIN,,,true,Notice of Order Lifting Directed Plan of Correction,directed_plan_of_correction,INDEX_METADATA,index_action,,,,,,,,false,true,2024,Carewell Health Medical Center
