0,0,county,title,url,fill_color
45,45,Henderson,"-Hendersonville - Carolina Village",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Henderson,Red
46,46,Hertford,,,"Off White"
47,47,Hoke,,,"Off White"
48,48,Hyde,,,"Off White"
49,49,Iredell,,,"Off White"
50,50,Jackson,,,"Off White"
51,51,Johnston,,,"Off White"
52,52,Jones,,,"Off White"
53,53,Lee,,,"Off White"
54,54,Lenoir,,,"Off White"
55,55,Lincoln,,,"Off White"
56,56,McDowell,,,"Off White"
57,57,Macon,,,"Off White"
58,58,Madison,,,"Off White"
59,59,Martin,,,"Off White"
60,60,Mecklenburg,"-Charlotte - Aldersgate <br />-Charlotte - Brookdale Carriage Club Providence <br />-Charlotte - Carmel Hills <br />-Charlotte - The Sharon at Southpark<br />-Charlotte - Sharon Village Apartments  <br />-Charlotte - Southminster  <br />-Charlotte - The Barclay at Southpark <br />-Charlotte - The Cypress of Charlotte <br />- Davidson - The Pines at Davidson  <br />-Matthews - Matthews Glen <br />-Matthews - Windsor Run Retirement Community",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Mecklenburg,"Light Red"
61,61,Mitchell,,,"Off White"
62,62,Montgomery,,,"Off White"
63,63,Moore,"-Pinehurst - Quail Haven Village <br />- Southern Pines - Belle Meade and Pine Knoll <br />-Southern Pines - Penick Village",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Moore,Black
64,64,Nash,,,"Off White"
65,65,"New Hanover","-Wilmington - Carolina Bay at Autumn Hall <br />-Wilmington - Plantation Village <br />-Wilmington - Trinity Landing",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=New%20Hanover,Blue
66,66,Northampton,,,"Off White"
67,67,Onslow,,,"Off White"
68,68,Orange,"-Chapel Hill - Carol Woods",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Orange,"Light Blue"
69,69,Pamlico,,,"Off White"
70,70,Pasquotank,,,"Off White"
71,71,Pender,,,"Off White"
72,72,Perquimans,,,"Off White"
73,73,Person,,,"Off White"
74,74,Pitt,"-Greenville - Cypress Glen Retirement Community",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Pitt,Green
75,75,Polk,"-Columbus - Tryon Estates <br />-Tryon - White Oak Village Apartments",,"Light Green"
76,76,Randolph,,,"Off White"
77,77,Richmond,,,"Off White"
78,78,Robeson,"-Lumberton - Wesley Pines Retirement Community",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Robeson,Olive
79,79,Rockingham,,,"Off White"
80,80,Rowan,"-Salisbury - Trinity Oaks",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Rowan,"Light Olive"
81,81,Rutherford,,,"Off White"
82,82,Sampson,,,"Off White"
83,83,Scotland,"-Laurinburg - Scotia Village",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Scotland,Orange
84,84,Stanly,,,"Off White"
85,85,Stokes,,,"Off White"
86,86,Surry,,,"Off White"
87,87,Swain,,,"Off White"
88,88,Transylvania,,,"Off White"
89,89,Tyrrell,,,"Off White"
90,90,Union,,,"Off White"
91,91,Vance,,,"Off White"
92,92,Wake,"-Cary - Glenaire<br />-Cary - Searstone<br />-Cary - The Templeton at Cary<br />-Fuquay-Varina - Windsor Point<br />-Raleigh - Springmoor Life Care Retirement Community<br />-Raleigh - The Cardinal at North Hills<br />-Raleigh - The Cypress of Raleigh<br />-Raleigh - The Oaks at Whitaker Glen<br />-Raleigh - The East Tower at Cardinal North Hills<br />-Raleigh - Hayes Barton Place",https://ncdoi.maps.arcgis.com/apps/dashboards/3b36b8a899344f78a5525cf1f11584e3#county=Wake,"Light Orange"
93,93,Warren,,,"Off White"
94,94,Washington,,,"Off White"
95,95,Watauga,,,"Off White"
96,96,Wayne,,,"Off White"
97,97,Wilkes,,,"Off White"
98,98,Wilson,,,"Off White"
99,99,Yadkin,,,"Off White"
100,100,Yancey,,,"Off White"
